year,state,wvalue,lvalue
2005,Bulgaria,292,female
2006,Bulgaria,327,female
2007,Bulgaria,391,female
2008,Bulgaria,490,female
2009,Bulgaria,544,female
2010,Bulgaria,579,female
2011,Bulgaria,579,female
1995,Bulgaria,256,male
1996,Bulgaria,256,male
1997,Bulgaria,256,male
1998,Bulgaria,256,male
1999,Bulgaria,256,male
2000,Bulgaria,256,male
2001,Bulgaria,272,male
2002,Bulgaria,289,male
2003,Bulgaria,302,male
2004,Bulgaria,321,male
2005,Bulgaria,355,male
2006,Bulgaria,393,male
2007,Bulgaria,469,male
2008,Bulgaria,596,male
2009,Bulgaria,672,male
2010,Bulgaria,717,male
2011,Bulgaria,717,male
1995,Cambodia,165841,female
1996,Cambodia,165841,female
1997,Cambodia,165841,female
1998,Cambodia,165841,female
1999,Cambodia,165841,female
2000,Cambodia,165841,female
2001,Cambodia,165841,female
2002,Cambodia,165841,female
2003,Cambodia,165841,female
2004,Cambodia,165841,female
2005,Cambodia,165841,female
2006,Cambodia,165841,female
2007,Cambodia,228832,female
2008,Cambodia,228832,female
2009,Cambodia,258207,female
2010,Cambodia,258207,female
2011,Cambodia,258207,female
1995,Cambodia,187576,male
1996,Cambodia,187576,male
1997,Cambodia,187576,male
1998,Cambodia,187576,male
1999,Cambodia,187576,male
2000,Cambodia,187576,male
2001,Cambodia,187576,male
2002,Cambodia,187576,male
2003,Cambodia,187576,male
2004,Cambodia,187576,male
2005,Cambodia,187576,male
2006,Cambodia,187576,male
2007,Cambodia,333916,male
2008,Cambodia,333916,male
2009,Cambodia,355560,male
2010,Cambodia,355560,male
2011,Cambodia,355560,male
1995,Canada,2015,female
1996,Canada,2015,female
1997,Canada,2015,female
1998,Canada,2048,female
1999,Canada,2109,female
2000,Canada,2172,female
2001,Canada,2250,female
2002,Canada,2318,female
2003,Canada,2379,female
2004,Canada,2460,female
2005,Canada,2556,female
2006,Canada,2649,female
2007,Canada,2743,female
2008,Canada,2857,female
2009,Canada,2972,female
2010,Canada,3036,female
2011,Canada,3131,female
1995,Canada,2911,male
1996,Canada,2911,male
1997,Canada,2911,male
1998,Canada,2954,male
1999,Canada,3031,male
2000,Canada,3129,male
2001,Canada,3226,male
2002,Canada,3286,male
2003,Canada,3343,male
2004,Canada,3414,male
2005,Canada,3519,male
2006,Canada,3638,male
2007,Canada,3753,male
2008,Canada,3912,male
2009,Canada,3999,male
2010,Canada,4077,male
2011,Canada,4142,male
1995,Colombia,212843,female
1996,Colombia,260200,female
1997,Colombia,321083,female
1998,Colombia,394930,female
1999,Colombia,431387,female
2000,Colombia,453552,female
2001,Colombia,453552,female
2002,Colombia,494526,female
2003,Colombia,504443,female
2004,Colombia,550941,female
2005,Colombia,623537,female
2006,Colombia,625285,female
2007,Colombia,817793,female
2008,Colombia,882040,female
2009,Colombia,860458,female
2010,Colombia,921469,female
2011,Colombia,921469,female
1995,Colombia,268634,male
1996,Colombia,325746,male
1997,Colombia,405830,male
1998,Colombia,491450,male
1999,Colombia,507983,male
2000,Colombia,502015,male
2001,Colombia,502015,male
2002,Colombia,510819,male
2003,Colombia,580873,male
2004,Colombia,636941,male
2005,Colombia,695383,male
2006,Colombia,716076,male
2007,Colombia,895364,male
2008,Colombia,1003450,male
2009,Colombia,974912,male
2010,Colombia,1089160,male
2011,Colombia,1089160,male
1995,Costa Rica,56229,female
1996,Costa Rica,69708,female
1997,Costa Rica,83668,female
1998,Costa Rica,94825,female
1999,Costa Rica,96611,female
2000,Costa Rica,111747,female
2001,Costa Rica,133788,female
2002,Costa Rica,139293,female
2003,Costa Rica,157937,female
2004,Costa Rica,171478,female
2005,Costa Rica,181968,female
2006,Costa Rica,213140,female
2007,Costa Rica,237808,female
2008,Costa Rica,271571,female
2009,Costa Rica,340767,female
2010,Costa Rica,368469,female
2011,Costa Rica,368469,female
1995,Costa Rica,73294,male
1996,Costa Rica,83949,male
1997,Costa Rica,95788,male
1998,Costa Rica,117439,male
1999,Costa Rica,123181,male
2000,Costa Rica,138273,male
2001,Costa Rica,161366,male
2002,Costa Rica,177789,male
2003,Costa Rica,187437,male
2004,Costa Rica,205300,male
2005,Costa Rica,224695,male
2006,Costa Rica,253971,male
2007,Costa Rica,298172,male
2008,Costa Rica,339125,male
2009,Costa Rica,390767,male
2010,Costa Rica,425637,male
2011,Costa Rica,425637,male
1995,Croatia,5251,female
1996,Croatia,5251,female
1997,Croatia,5251,female
1998,Croatia,5251,female
1999,Croatia,5251,female
2000,Croatia,5251,female
2001,Croatia,5251,female
2002,Croatia,5251,female
2003,Croatia,5251,female
2004,Croatia,5540,female
2005,Croatia,5806,female
2006,Croatia,6149,female
2007,Croatia,6549,female
2008,Croatia,7016,female
2009,Croatia,7181,female
2010,Croatia,7233,female
2011,Croatia,7233,female
1995,Croatia,5868,male
1996,Croatia,5868,male
1997,Croatia,5868,male
1998,Croatia,5868,male
1999,Croatia,5868,male
2000,Croatia,5868,male
2001,Croatia,5868,male
2002,Croatia,5868,male
2003,Croatia,5868,male
2004,Croatia,6206,male
2005,Croatia,6492,male
2006,Croatia,6909,male
2007,Croatia,7344,male
2008,Croatia,7892,male
2009,Croatia,8033,male
2010,Croatia,8044,male
2011,Croatia,8044,male
1995,Cyprus,1078,female
1996,Cyprus,1078,female
1997,Cyprus,1078,female
1998,Cyprus,1078,female
1999,Cyprus,1078,female
2000,Cyprus,1165,female
2001,Cyprus,1225,female
2002,Cyprus,1295,female
2003,Cyprus,1374,female
2004,Cyprus,1432,female
2005,Cyprus,1510,female
2006,Cyprus,1589,female
2007,Cyprus,1651,female
2008,Cyprus,1760,female
2009,Cyprus,1824,female
2010,Cyprus,1824,female
2011,Cyprus,1824,female
1995,Cyprus,1469,male
1996,Cyprus,1469,male
1997,Cyprus,1469,male
1998,Cyprus,1469,male
1999,Cyprus,1469,male
2000,Cyprus,1572,male
2001,Cyprus,1652,male
2002,Cyprus,1729,male
2003,Cyprus,1837,male
2004,Cyprus,1912,male
2005,Cyprus,2013,male
2006,Cyprus,2100,male
2007,Cyprus,2168,male
2008,Cyprus,2267,male
2009,Cyprus,2336,male
2010,Cyprus,2336,male
2011,Cyprus,2336,male
1995,Czech Republic,18221,female
1996,Czech Republic,18221,female
1997,Czech Republic,18221,female
1998,Czech Republic,18221,female
1999,Czech Republic,18221,female
2000,Czech Republic,18221,female
2001,Czech Republic,18221,female
2002,Czech Republic,18221,female
2003,Czech Republic,18221,female
2004,Czech Republic,18221,female
2005,Czech Republic,18221,female
2006,Czech Republic,19305,female
2007,Czech Republic,20683,female
2008,Czech Republic,21938,female
2009,Czech Republic,22413,female
2010,Czech Republic,22666,female
2011,Czech Republic,22389,female
1995,Czech Republic,24271,male
1996,Czech Republic,24271,male
1997,Czech Republic,24271,male
1998,Czech Republic,24271,male
1999,Czech Republic,24271,male
2000,Czech Republic,24271,male
2001,Czech Republic,24271,male
2002,Czech Republic,24271,male
2003,Czech Republic,24271,male
2004,Czech Republic,24271,male
2005,Czech Republic,24271,male
2006,Czech Republic,25593,male
2007,Czech Republic,27488,male
2008,Czech Republic,29628,male
2009,Czech Republic,29952,male
2010,Czech Republic,30192,male
2011,Czech Republic,28233,male
1995,"Congo, Dem. Rep.",7731,female
1996,"Congo, Dem. Rep.",7731,female
1997,"Congo, Dem. Rep.",7731,female
1998,"Congo, Dem. Rep.",7731,female
1999,"Congo, Dem. Rep.",7731,female
2000,"Congo, Dem. Rep.",7731,female
2001,"Congo, Dem. Rep.",7731,female
2002,"Congo, Dem. Rep.",7731,female
2003,"Congo, Dem. Rep.",7731,female
2004,"Congo, Dem. Rep.",7731,female
2005,"Congo, Dem. Rep.",7731,female
